header_title,header_subtitle,ad_link,ad_download_date_time,Asking price,    Asking price per m²,Listed since,Status,Acceptance,Kind of house,Building type,Year of construction,Accessibility,Specific,Type of roof,Areas,Living area,External storage space,Plot size,Volume in cubic meters,Number of rooms,Number of bath rooms,Bathroom facilities,Number of stories,Facilities,Energy label,Insulation,Heating,Hot water,Area,Ownership situation,Location,Garden,Front garden,Garden location,Shed / storage,Facilities.1,Insulation.1,Type of parking facilities,error,VVE (Owners Association) contribution,Type apartment,Exterior space attached to the building,Located at,Balcony/roof garden,Registration with KvK,Annual meeting,Periodic contribution,Reserve fund present,Maintenance plan,Building insurance,Service charges,Fees,Type of garage,Capacity,Other space inside the building,CH boiler,Facilities.2,Back garden,Provisional energy label,Construction period,Ownership situation.1,Quality marks,Original asking price,Sun terrace,Ownership situation.2,Ownership situation.3,Fees.1,Patio/atrium,Purchase combination,Aangeboden sinds,Verkoopdatum,Looptijd,Dimensions,Ownership situation.4,Type of property,Insulation.2,Side garden,Fees.2,Fees.3,Location.1
Urban Loft (Bouwnr. 88),3011 CD Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42502307-urban-loft-bouwnr-88/?navigateSource=resultlist,20220126_003342,"€ 543,375 vrij op naam","€ 5,545    The asking price per m² (€ 543,375) is calculated by dividing the asking price of the home by the living area (98 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Available,Available in consultation,,New property,2024,,,,Living area98 m²,98 m²,,,255 m³,3 rooms (2 bedrooms),,,2 stories,,,Completely insulated,District heating and complete floor heating,Central facility and district heating,,,"In center, in residential district and unobstructed surrounding view",,,,Built-in,,,,no,,Maisonnette,,7th floor,,,,,,,,,,,,,,,,A        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Drinkwaterweg 489,3063 VD Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42663265-drinkwaterweg-489/?navigateSource=resultlist,20220126_003349,"€ 675,000 kosten koper","€ 5,533    The asking price per m² (€ 675,000) is calculated by dividing the asking price of the home by the living area (122 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 weeks,Under offer,Available in consultation,,Resale property,1991,,,Flat roof covered with asphalt roofing,Living area122 m²Exterior space attached to the building60 m²External storage space6 m²,122 m²,6 m²,,380 m³,3 rooms (2 bedrooms),1 bathroom and 1 separate toilet,Bath and shower,1 story,Elevator and TV via cable,B        What does this mean?,Double glazing,District heating,Central facility,,Full ownership,"Alongside a quiet road, alongside water and unobstructed surrounding view",Sun terrace,,,Storage box,,,Public parking,no,€ 171.00 per month,Penthouse (apartment),60 m²,16th floor,,Yes,Yes,Yes (€ 171.00 per month),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascalweg 57,3076 JL Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-88970357-pascalweg-57/?navigateSource=resultlist,20220126_003358,"€ 575,000 kosten koper","€ 3,571    Keep in mind, this house has a large plot sizeThe asking price per m² (€ 575,000) is calculated by dividing the asking price of the home by the living area (161 m²). Plot size and outbuildings aren't taken into account into this calculation.Because of the large plot size, the asking price per m² is less suited for comparisons between houses in this situation and we advise you to consult a real estate agent for further interpretation.  ",2 months,Sold under reservation,Available in consultation,"Single-family home, double house",Resale property,1928,,,,Living area161 m²Other space inside the building15 m²Exterior space attached to the building1 m²External storage space44 m²,161 m²,44 m²,537 m²,576 m³,5 rooms (4 bedrooms),1 bathroom and 2 separate toilets,Hipbath and shower,3 stories and a basement,,,Mostly double glazed,"CH boiler, fireplace and partial floor heating",CH boiler,537 m²,Use and occupancy,Alongside busy road and in residential district,Back garden,,,Detached brick storage,,,Parking on private property and public parking,no,,,1 m²,,,,,,,,,,,,,15 m²,In ownership,,,G        What does this mean?,,,,,,,,,,,,,,,,,,,,,
's-Gravenweg 602 L,3065 SH Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-88885213-s-gravenweg-602-l/?navigateSource=resultlist,20220126_003407,"€ 2,395,000 kosten koper","€ 5,544    Keep in mind, this house has a large plot sizeThe asking price per m² (€ 2,395,000) is calculated by dividing the asking price of the home by the living area (432 m²). Plot size and outbuildings aren't taken into account into this calculation.Because of the large plot size, the asking price per m² is less suited for comparisons between houses in this situation and we advise you to consult a real estate agent for further interpretation.  ",4 months,Available,Available in consultation,"Villa, detached residential property",Resale property,2012,,,Combination roof,Living area432 m²Other space inside the building8 m²External storage space18 m²,432 m²,18 m²,"1,343 m²","1,475 m³",8 rooms (6 bedrooms),,,3 stories,"Air conditioning, alarm installation, outdoor awning, mechanical ventilation, TV via cable and swimming pool",,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated","CH boiler, fireplace and complete floor heating",,1.343 m²,Full ownership,"Alongside park, alongside a quiet road, alongside water, In wooded surroundings and in residential district",Surrounded by garden,,,,,,,no,,,,,,,,,,,,,,Parking place,,8 m²,,,,A        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Oostmaaslaan 512,3063 DH Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-41043034-oostmaaslaan-512/?navigateSource=resultlist,20220126_003414,"€ 398,000 kosten koper","€ 4,146    The asking price per m² (€ 398,000) is calculated by dividing the asking price of the home by the living area (96 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",6+ months,Sold under reservation,Available in consultation,,Resale property,1991,,,,Living area96 m²Exterior space attached to the building7 m²External storage space4 m²,96 m²,4 m²,,316 m³,3 rooms (1 bedroom),1 bathroom and 1 separate toilet,Bath and shower,1 story,Elevator and mechanical ventilation,C            1.51What does this mean?,Double glazing and completely insulated,District heating,District heating,,Ownership encumbered with long-term leaset,In residential district,,,,Built-in,,,,no,€ 186.00 per month,Upstairs apartment (apartment),7 m²,2nd floor,Balcony present,Yes,Yes,Yes (€ 186.00 per month),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalborgpad 10,3067 PP Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88944562-aalborgpad-10/?navigateSource=resultlist,20220126_003422,"€ 245,000 kosten koper","€ 4,298    The asking price per m² (€ 245,000) is calculated by dividing the asking price of the home by the living area (57 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",3 months,Sold under reservation,Available in consultation,,Resale property,1981,,With carpets and curtains,Combination roof covered with asphalt roofing and roof tiles,Living area57 m²Exterior space attached to the building6 m²External storage space4 m²,57 m²,4 m²,,181 m³,2 rooms (1 bedroom),1 bathroom and 1 separate toilet,Shower,1 story,Mechanical ventilation and passive ventilation system,C        What does this mean?,Double glazing,District heating,,,,Alongside a quiet road and in residential district,,,,,,,Public parking,no,€ 94.50 per month,Residential property with shared street entrance (apartment),6 m²,2nd floor,Balcony present,Yes,Yes,Yes (€ 94.50 per month),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouwnummer 067 (Bouwnr. 067),3084 PJ Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42566837-bouwnummer-067-bouwnr-067/?navigateSource=resultlist,20220126_003430,"€ 497,000 vrij op naam","€ 3,823    The asking price per m² (€ 497,000) is calculated by dividing the asking price of the home by the living area (130 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",3 months,Available,Available in consultation,"Single-family home, corner house",New property,2022,,,,Living area130 m²,130 m²,,187 m²,522 m³,4 rooms (3 bedrooms),,,2 stories and a attic,,,,,,187 m²,Full ownership,Alongside a quiet road and in residential district,,,,,,,,no,,,,,,,,,,,,,,,,,,,,A        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Terbregselaan 6 a,3055 RG Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42526565-terbregselaan-6-a/?navigateSource=resultlist,20220126_003446,"€ 525,000 kosten koper","€ 4,268    The asking price per m² (€ 525,000) is calculated by dividing the asking price of the home by the living area (123 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Sold under reservation,Available in consultation,,Resale property,1926,,,Flat roof covered with asphalt roofing,Living area123 m²Exterior space attached to the building4 m²,123 m²,,,377 m³,4 rooms (2 bedrooms),1 bathroom and 1 separate toilet,,2 stories,Mechanical ventilation,,Double glazing,CH boiler,CH boiler,,Full ownership,In residential district,Back garden and front garden,,Located at the south,,,,Public parking,no,€ 100.00 per month,Double ground-floor apartment (apartment),4 m²,1st floor,Balcony present,Yes,Yes,Yes (€ 100.00 per month),Yes,Yes,Yes,,,,,,"Remeha HR (gas-fired combination boiler from 2010, in ownership)",,"30 m² (4,6 meter deep and 6,6 meter broad)",G        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Loods Bali,3024 WE Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-41373998-loods-bali/?navigateSource=resultlist,20220126_003453,"€ 715,000 vrij op naam","€ 4,206    The asking price per m² (€ 715,000) is calculated by dividing the asking price of the home by the living area (170 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",6+ months,Available,Available in consultation,"Desirable residence/villa, row house",New property,2023,,,Flat roof covered with asphalt roofing,Living area170 m²Other space inside the building4 m²Exterior space attached to the building30 m²External storage space6 m²,170 m²,6 m²,,510 m³,5 rooms (3 bedrooms),,,4 stories,"Balanced ventilation system, smart home, optical fibre, sliding door and solar panels",Not available,"Double glazing, energy efficient window and completely insulated","District heating, complete floor heating and heat recovery unit",Central facility and district heating,,,Alongside a quiet road and in residential district,Sun terrace,,Located at the east,Built-in,,,Parking garage,no,,,30 m²,,,,,,,,,,,Underground parking and parking place,,4 m²,,,,,,,Woningborg garantiecertificaat,,"14 m² (4,24 meter deep and 3,22 meter broad)",,,,,,,,,,,,,,,,
Graaf Florisstraat 97 B2,3021 CD Rotterdam        Middelland,https://www.funda.nl/en/koop/rotterdam/appartement-42539611-graaf-florisstraat-97-b2/?navigateSource=resultlist,20220126_003500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 november 2021,22 december 2021,3 weken,,,,,,,,
Dordtselaan 26 C,3073 GB Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42660129-dordtselaan-26-c/?navigateSource=resultlist,20220126_003508,"€ 350,000 kosten koper","€ 2,893    The asking price per m² (€ 350,000) is calculated by dividing the asking price of the home by the living area (121 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",3 weeks,Available,Available in consultation,,Resale property,1934,,,Flat roof covered with asphalt roofing,Living area121 m²Other space inside the building18 m²,121 m²,,,400 m³,5 rooms (3 bedrooms),2 bathrooms,2 showers,2 stories,Passive ventilation system,Not available,Partly double glazed,CH boiler,CH boiler,,Full ownership,In residential district,Back garden,,Located at the west,Built-in,,,Paid parking and resident's parking permits,no,,Double ground-floor apartment (apartment),,1st floor,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,18 m²,"Remeha Avanta (gas-fired combination boiler, in ownership)",,70 m² (14 meter deep and 5 meter broad),,,,,,,,,,,,,,,,,,,,,,
KOER 9-02-02,3072 DB Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42660623-koer-9-02-02/?navigateSource=resultlist,20220126_003515,"€ 550,000 vrij op naam","€ 4,911    The asking price per m² (€ 550,000) is calculated by dividing the asking price of the home by the living area (112 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",3 weeks,Available,Available in consultation,,New property,2024,,,Flat roof covered with other,Living area112 m²,112 m²,,,336 m³,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,,3 stories,"Balanced ventilation system, outdoor awning, optical fibre and solar panels",,Completely insulated,District heating and complete floor heating,District heating,,,"Alongside a quiet road, sheltered location and in residential district",,,,,,,Paid parking and public parking,no,,Upstairs apartment (apartment),,3rd floor,,,,,,,,,,Underground parking and parking place,,,,,,A        What does this mean?,,,SWK garantiecertificaat,,,,,,,,,,,,,,,,,,
Ramlehweg 24 A,3061 JX Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42525040-ramlehweg-24-a/?navigateSource=resultlist,20220126_003523,"€ 450,000 kosten koper","€ 3,814    The asking price per m² (€ 450,000) is calculated by dividing the asking price of the home by the living area (118 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Sold under reservation,Available in consultation,,Resale property,1939,,,,Living area118 m²Exterior space attached to the building21 m²,118 m²,,,395 m³,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,Shower and toilet,2 stories,,,Double glazing,CH boiler,CH boiler,,Full ownership,"On the edge of a forest, alongside a quiet road and in residential district",,,,,,,Public parking,no,€ 45.00 per month,Upstairs apartment (double upstairs apartment),21 m²,2nd floor,Balcony present,Yes,Yes,Yes (€ 45.00 per month),Yes,Yes,Yes,,,,,,,,,G        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Nolensstraat 55 C03,3039 PP Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88988404-nolensstraat-55-c03/?navigateSource=resultlist,20220126_003530,"€ 359,000 kosten koper","€ 4,488    The asking price per m² (€ 359,000) is calculated by dividing the asking price of the home by the living area (80 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Sold under reservation,Available in consultation,,Resale property,1937,,Protected townscape or village view (permit needed for alterations),,Living area80 m²Exterior space attached to the building2 m²,80 m²,,,200 m³,3 rooms (2 bedrooms),1 bathroom,Shower and toilet,1 story,,D        What does this mean?,Roof insulation and energy efficient window,CH boiler,CH boiler,,Full ownership,"Alongside a quiet road, in residential district and unobstructed surrounding view",,,,,,,Paid parking and resident's parking permits,no,€ 150.00 per month,Upstairs apartment (apartment),2 m²,4th floor,Balcony present,Yes,Yes,Yes (€ 150.00 per month),Yes,Yes,Yes,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,
Keyenburg 44 E,3085 KA Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88948357-keyenburg-44-e/?navigateSource=resultlist,20220126_003537,"€ 339,900 kosten koper","€ 3,735    The asking price per m² (€ 339,900) is calculated by dividing the asking price of the home by the living area (91 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",3 months,,,,Resale property,2008,,,,,,,,291 m³,3 rooms (2 bedrooms),,,,,A        What does this mean?,,,,91 m² residential surface area,,,,,,,,,,no,,Galleried apartment (apartment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buitenhofstraat 175 .,3022 PC Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42436363-buitenhofstraat-175/?navigateSource=resultlist,20220126_003545,"€ 1,600,000 kosten koper","€ 2,136    The asking price per m² (€ 1,600,000) is calculated by dividing the asking price of the home by the living area (749 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",4 months,Sold under reservation,Available in consultation,"Villa, detached residential property",Resale property,1928,,Listed building (national monument),Gable roof,Living area749 m²Exterior space attached to the building13 m²,749 m²,,596 m²,"4,392 m³",9 rooms (8 bedrooms),,,3 stories,,Not required,,,,596 m²,Municipal ownership encumbered with long-term leaset (end date of long-term lease:  29-02-2096),,,,,,,,Paid parking,no,,,13 m²,,,,,,,,,,Paid until 28-02-2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouwnummer (Bouwnr. 442),3011 BT Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-41387749-bouwnummer-bouwnr-442/?navigateSource=resultlist,20220126_003559,"€ 3,615,000 vrij op naam","€ 5,106    The asking price per m² (€ 3,615,000) is calculated by dividing the asking price of the home by the living area (708 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",6+ months,Under option,Available in consultation,,New property,2022,,,,Living area708 m²Exterior space attached to the building76 m²,708 m²,,,"1,840 m³",1 room,,,1 story,Mechanical ventilation,,"Roof insulation, double glazing, partly double glazed, no cavity wall, insulated walls, floor insulation, completely insulated and secondary glazing",,Central facility,,,"Alongside water, sheltered location, in center and in residential district",Sun terrace,,,,,,Parking garage,no,,Penthouse,76 m²,30th floor,,,,,,,,,,Underground parking,,,,,,A        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Gemertwal 28,3077 RV Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42531893-gemertwal-28/?navigateSource=resultlist,20220126_003607,"€ 239,500 kosten koper","€ 2,851    The asking price per m² (€ 239,500) is calculated by dividing the asking price of the home by the living area (84 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",8 weeks,Sold under reservation,Available in consultation,"Bungalow, corner house",Resale property,1983,Disabled access friendly and accessible for seniors,,Flat roof covered with roof tiles,Living area84 m²External storage space8 m²,84 m²,8 m²,136 m²,300 m³,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,Shower,1 story,Rolldown shutters and TV via cable,,Double glazing,CH boiler,CH boiler,136 m²,Municipal ownership encumbered with long-term leaset (end date of long-term lease:  30-12-2057),"Alongside a quiet road, sheltered location and in residential district",Back garden,,,Detached wooden storage,,,Public parking,no,,,,,,,,,,,,,"€ 1.511,44 per year with option to purchase",,,,"Intergas (gas-fired combination boiler from 2018, in ownership)",,,C        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Joliotplaats 31,3069 JJ Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42549049-joliotplaats-31/?navigateSource=resultlist,20220126_003614,"€ 400,000 kosten koper","€ 2,899    The asking price per m² (€ 400,000) is calculated by dividing the asking price of the home by the living area (138 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",7 weeks,Sold under reservation,Available in consultation,"Single-family home, row house",Resale property,2001,,,,Living area138 m²Other space inside the building8 m²Exterior space attached to the building18 m²,138 m²,,47 m²,474 m³,6 rooms (5 bedrooms),2 bathrooms and 2 separate toilets,Hipbath and 2 showers,4 stories,Mechanical ventilation and TV via cable,A        What does this mean?,Completely insulated,CH boiler,CH boiler,47 m²,Municipal long-term lease (end date of long-term lease:  05-07-2099),"Sheltered location, in residential district and unobstructed surrounding view",Sun terrace,,,Built-in,Electricity,,Public parking,no,,,18 m²,,Roof terrace present,,,,,,,,,,,8 m²,"Vaillant (gas-fired combination boiler from 2015, in ownership)",,,,,,,,,,,,,,,,,,,,,,,,
Rodezand 3 D 36,3011 AM Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-41398976-rodezand-3-d-36/?navigateSource=resultlist,20220126_003622,"€ 1,200,000 vrij op naam","€ 6,818    The asking price per m² (€ 1,200,000) is calculated by dividing the asking price of the home by the living area (176 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",6+ months,Sold under reservation,Available in consultation,,New property,2024,,,,Living area176 m²Exterior space attached to the building8 m²,176 m²,,,482 m³,4 rooms (3 bedrooms),2 bathrooms and 1 separate toilet,"Bath, 2 showers and toilet",1 story,"Balanced ventilation system, optical fibre, elevator, mechanical ventilation and TV via cable",Not available,Double glazing and completely insulated,"District heating, complete floor heating and heat recovery unit",District heating,,,"In center, in residential district and unobstructed surrounding view",Sun terrace,,,,,,Parking garage,no,,Apartment with shared street entrance (apartment),8 m²,36th floor,Balcony present,,,,,,,,,Underground parking,,,,,,,,,SWK garantiecertificaat,,,,,,,,,,,,,,,,,,
Kootsekade 24 a,3051 PE Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42517911-kootsekade-24-a/?navigateSource=resultlist,20220126_003630,"€ 225,000 kosten koper","€ 4,891    The asking price per m² (€ 225,000) is calculated by dividing the asking price of the home by the living area (46 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Sold under reservation,Available in consultation,,Resale property,1904,,,Gable roof covered with roof tiles,Living area46 m²Exterior space attached to the building6 m²External storage space8 m²,46 m²,8 m²,,128 m³,2 rooms (1 bedroom),1 bathroom and 1 separate toilet,Shower and toilet,1 story,Air conditioning,G        What does this mean?,Partly double glazed and secondary glazing,CH boiler,CH boiler,,Full ownership,"Alongside a quiet road, in residential district and unobstructed surrounding view",Back garden,,Located at the south,,,,Public parking,no,,Ground-floor apartment (apartment),6 m²,Ground floor,,Yes,No,No,No,No,No,,,,,,HR ( combination boiler from 2006),,36 m² (9 meter deep and 4 meter broad),,,,,,,,,,,,,,,,,,,,,,
KOER 7-02-05,3072 DB Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42660605-koer-7-02-05/?navigateSource=resultlist,20220126_003638,"€ 545,000 vrij op naam","€ 4,823    The asking price per m² (€ 545,000) is calculated by dividing the asking price of the home by the living area (113 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",3 weeks,Available,Available in consultation,,New property,2024,,,Flat roof,Living area113 m²,113 m²,,,339 m³,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,,3 stories,"Balanced ventilation system, outdoor awning, optical fibre and solar panels",,Completely insulated,"District heating, complete floor heating and heat recovery unit",District heating,,,"Alongside a quiet road, sheltered location and in residential district",,,,,,,Paid parking and public parking,no,,Upstairs apartment (apartment),,3rd floor,Balcony present,,,,,,,,,Underground parking and parking place,,,,,,A        What does this mean?,,,SWK garantiecertificaat,,,,,,,,,,,,,,,,,,
Provenierssingel 36 B,3033 EM Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88852678-provenierssingel-36-b/?navigateSource=resultlist,20220126_003645,"€ 525,000 kosten koper","€ 5,645    The asking price per m² (€ 525,000) is calculated by dividing the asking price of the home by the living area (93 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",6+ months,Sold under reservation,Available in consultation,,Resale property,1896,,Protected townscape or village view (permit needed for alterations),,Living area93 m²Exterior space attached to the building7 m²,93 m²,,,282 m³,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,Bath,2 stories,TV via cable,A        What does this mean?,Double glazing,CH boiler,CH boiler,,Full ownership,"Alongside a quiet road, alongside water and in residential district",,,,,,,Paid parking and resident's parking permits,no,,Upstairs apartment (double upstairs apartment),7 m²,3rd floor,,No,No,No,No,No,No,,,,,,"Remeha Avanta (gas-fired combination boiler from 2020, in ownership)",,,,,,,,,,,,,,,,,,,,,,,,
Skyloft (Bouwnr. 142),3071 EL Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42671030-skyloft-bouwnr-142/?navigateSource=resultlist,20220126_003653,"€ 1,552,000 vrij op naam","€ 7,185    The asking price per m² (€ 1,552,000) is calculated by dividing the asking price of the home by the living area (216 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 14, 2022",Available,Available in consultation,,New property,2022,,,,Living area216 m²Exterior space attached to the building20 m²,216 m²,,,562 m³,5 rooms (4 bedrooms),,,2 stories,Mechanical ventilation,,Completely insulated,Complete floor heating and heat recovery unit,Central facility,,,"On navigable waterway, alongside water, in residential district and unobstructed surrounding view",Sun terrace,,,,,,,no,,Penthouse (apartment),20 m²,21st floor,,,,,,,,,,,,,,,,A        What does this mean?,,,Politiekeurmerk and SWK garantiecertificaat,,,,,,,,,,,,,,,,,,
Burgemeester van Slijpelaan 45,3077 AD Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42547653-burgemeester-van-slijpelaan-45/?navigateSource=resultlist,20220126_003701,"€ 385,000 kosten koper","€ 2,550    The asking price per m² (€ 385,000) is calculated by dividing the asking price of the home by the living area (151 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",7 weeks,Sold under reservation,Available in consultation,"Single-family home, corner house",Resale property,1936,,,Gable roof,Living area151 m²Exterior space attached to the building7 m²External storage space6 m²,151 m²,6 m²,134 m²,557 m³,6 rooms (5 bedrooms),1 separate toilet,,3 stories,,D        What does this mean?,"Double glazing, partly double glazed and insulated walls",CH boiler,CH boiler,134 m²,Full ownership,Alongside a quiet road and in residential district,Back garden and front garden,,Located at the northwest accessible via the rear,,,,Public parking,no,,,7 m²,,Balcony present,,,,,,,,,,,,"Vaillant ecotec (gas-fired combination boiler from 2015, in ownership)",,"49 m² (9,2 meter deep and 5,34 meter broad)",,,,,,,,,,,,,,,,,,,,,,
Curieplaats 247,3069 HE Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42549379-curieplaats-247/?navigateSource=resultlist,20220126_003708,"€ 275,000 kosten koper","€ 2,570    The asking price per m² (€ 275,000) is calculated by dividing the asking price of the home by the living area (107 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",7 weeks,Sold under reservation,Available in consultation,,Resale property,1973,,Renovation project,Flat roof,Living area107 m²Exterior space attached to the building12 m²External storage space8 m²,107 m²,8 m²,,336 m³,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,Shower,1 story,Elevator and TV via cable,G            3.16What does this mean?,Partly double glazed,Communal central heating,Central facility,,Full ownership,In residential district and unobstructed surrounding view,,,,Storage box,,,Public parking,no,€ 208.13 per month,Galleried apartment (apartment),12 m²,1st floor,Balcony present,Yes,Yes,Yes (€ 208.13 per month),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Part of a project for the selling of rented property to the sitting tenants,,,,,,,,,,,
Lloydkade (Bouwnr. 11.01),3024 EA Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42512164-lloydkade-bouwnr-1101/?navigateSource=resultlist,20220126_003715,"€ 755,000 vrij op naam","€ 7,784    The asking price per m² (€ 755,000) is calculated by dividing the asking price of the home by the living area (97 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",2 months,Available,Available in consultation,,New property,2024,,,,Living area97 m²Exterior space attached to the building77 m²,97 m²,,,305 m³,4 rooms (3 bedrooms),,,1 story,Elevator,,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",District heating,District heating,,,"On navigable waterway, alongside water, in center, in residential district and unobstructed surrounding view",,,,Built-in,,,"Paid parking, parking on private property, public parking and parking garage",no,,Mezzanine (apartment),77 m²,12th floor,,,,,,,,,,,,,,,,A        What does this mean?,,,SWK garantiecertificaat,,,,,,,,,,,,,,,,,,
Mathenesserlaan 396 a,3023 HD Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88998887-mathenesserlaan-396-a/?navigateSource=resultlist,20220126_003723,"€ 675,000 kosten koper","€ 4,355    The asking price per m² (€ 675,000) is calculated by dividing the asking price of the home by the living area (155 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",7 weeks,Sold under reservation,Available in consultation,,Resale property,1909,,Protected townscape or village view (permit needed for alterations),,Living area155 m²Exterior space attached to the building54 m²,155 m²,,,548 m³,4 rooms (3 bedrooms),1 bathroom and 2 separate toilets,Bath and shower,2 stories,,C        What does this mean?,Double glazing,CH boiler,CH boiler,,Full ownership,In residential district,Sun terrace,,,,,,Paid parking and resident's parking permits,no,,Upstairs apartment (double upstairs apartment),54 m²,3rd floor,Roof terrace present and balcony present,Yes,Yes,Yes,Yes,No,Yes,,,,,,2005,,,,,,,,"46 m² (9 meter deep and 5,1 meter broad)",,,,,,,,,,,,,,,,
Vasaristraat 142,3066 LJ Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88010652-vasaristraat-142/?navigateSource=resultlist,20220126_003731,"€ 225,000 kosten koper","€ 3,082    The asking price per m² (€ 225,000) is calculated by dividing the asking price of the home by the living area (73 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",6 weeks,Sold under reservation,Available in consultation,,Resale property,1966,,,,Living area73 m²Exterior space attached to the building4 m²External storage space16 m²,73 m²,16 m²,,243 m³,4 rooms (3 bedrooms),1 bathroom,,1 story,,D        What does this mean?,Completely insulated,Communal central heating,CH boiler,,Private long-term lease (end date of long-term lease:  20-02-2117),,,,,Built-in,,,Public parking,no,€ 135.85 per month,Apartment with shared street entrance,4 m²,4th floor,,Yes,Yes,Yes (€ 135.85 per month),Yes,Yes,Yes,,Paid until 20-02-2117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
